timestamp,speed,acceleration,gradient,acc_x,acc_y,acc_z,jerk,turning_rate,energy_factor,driver_cluster
1747223146.0,15.995724,-3268.7810000000004,0.0,0.613281,-0.304688,10.0,0.0,0.005859,185279498.861363,1
1747223147.0,10.865685,-5130.039,0.14168616551867544,0.382812,-0.34375,9.964844,0.0,0.050781,183845897.95694533,1
1747223148.0,5.909732,-4955.952999999999,-0.0443155589768762,-1.074219,-0.726562,9.539062,0.0,0.058594,194860428.105206,1
1747223149.0,5.54674,-362.9920000000002,0.1629668943025516,-2.375,0.957031,8.960938,0.0,0.263672,206229676.05387703,2
1747223150.0,9.382232,3835.492,0.13266536037739152,-1.609375,2.105469,9.726562,0.0,0.408203,222064156.00762907,2
1747223151.0,11.260159,1877.9269999999997,0.06601919834660423,-1.570312,0.917969,10.148438,0.0,0.494141,215879036.20336494,2
1747223152.0,14.004824,2744.6649999999995,-0.025360786803176508,-2.605469,0.039062,9.582031,0.0,0.28125,223080041.9300857,2
1747223153.0,18.860767,4855.943,0.08928060341515134,-2.796875,0.0,9.304688,0.0,0.162109,245233745.55351102,1
1747223154.0,23.620407,4759.640000000001,0.0,-2.261719,0.726562,7.234375,0.0,0.085938,253909629.6846684,1
1747223155.0,26.916969,3296.5620000000013,-0.026611160709800893,-2.261719,-0.613281,9.042969,0.0,0.001953,244035608.66155648,1
1747223156.0,30.220938,3303.9689999999987,0.051834868589327454,-2.679688,-0.574219,9.039062,0.0,0.017578,248676667.84581557,1
1747223157.0,33.702698,3481.7599999999975,0.009483584960787292,-1.953125,-0.152344,10.570312,0.0,0.068359,255961719.18193716,1
1747223158.0,35.456539,1753.8410000000013,0.0,-1.878906,-0.496094,9.765625,0.0,0.001953,232977404.76160854,1
1747223159.0,36.888134,1431.5950000000014,0.020696392203005,-2.871094,-0.652344,9.382812,0.0,0.033203,229073872.53898412,1
1747223160.0,41.101437,4213.302999999996,0.008516252492600162,-2.183594,0.230469,9.386719,0.0,0.099609,279224215.7256259,1
